ablation,balanced_accuracy,macro_f1
full,0.8642965064429595,0.8766858975208567
without_hrv,0.6654407585803467,0.6262860926030188
without_eda,0.6823829157959593,0.6439302870747087
without_respiration,0.6901527208277779,0.6849040698986228
without_bvp,0.5181414212535495,0.4840680978371228
without_motion,0.764224389970004,0.7717917534573343
without_temperature,0.6276428220619679,0.5993575805394166
without_emg,0.4967858163250993,0.47562763268360136
